dateday,year,month,weekday,windspeed,count
2011-01-01,2011,Jan,weekend,0.160446,985
2011-01-02,2011,Jan,weekend,0.248539,801
2011-01-03,2011,Jan,weekday,0.248309,1349
2011-01-04,2011,Jan,weekday,0.160296,1562
2011-01-05,2011,Jan,weekday,0.1869,1600
2011-01-06,2011,Jan,weekday,0.0895652,1606
2011-01-07,2011,Jan,weekday,0.168726,1510
2011-01-08,2011,Jan,weekend,0.266804,959
2011-01-09,2011,Jan,weekend,0.36195,822
2011-01-10,2011,Jan,weekday,0.223267,1321
2011-01-11,2011,Jan,weekday,0.122132,1263
2011-01-12,2011,Jan,weekday,0.304627,1162
2011-01-13,2011,Jan,weekday,0.301,1406
2011-01-14,2011,Jan,weekday,0.126548,1421
2011-01-15,2011,Jan,weekend,0.157963,1248
2011-01-16,2011,Jan,weekend,0.188433,1204
2011-01-17,2011,Jan,weekday,0.194017,1000
2011-01-18,2011,Jan,weekday,0.146775,683
2011-01-19,2011,Jan,weekday,0.208317,1650
2011-01-20,2011,Jan,weekday,0.195904,1927
2011-01-21,2011,Jan,weekday,0.353242,1543
2011-01-22,2011,Jan,weekend,0.17197,981
2011-01-23,2011,Jan,weekend,0.2466,986
2011-01-24,2011,Jan,weekday,0.15833,1416
2011-01-25,2011,Jan,weekday,0.129796,1985
2011-01-26,2011,Jan,weekday,0.29385,506
2011-01-27,2011,Jan,weekday,0.113837,431
2011-01-28,2011,Jan,weekday,0.1233,1167
2011-01-29,2011,Jan,weekend,0.145365,1098
2011-01-30,2011,Jan,weekend,0.0739826,1096
2011-01-31,2011,Jan,weekday,0.187192,1501
2011-02-01,2011,Feb,weekday,0.053213,1360
2011-02-02,2011,Feb,weekday,0.264308,1526
2011-02-03,2011,Feb,weekday,0.277752,1550
2011-02-04,2011,Feb,weekday,0.127839,1708
2011-02-05,2011,Feb,weekend,0.161079,1005
2011-02-06,2011,Feb,weekend,0.1418,1623
2011-02-07,2011,Feb,weekday,0.0454083,1712
2011-02-08,2011,Feb,weekday,0.36195,1530
2011-02-09,2011,Feb,weekday,0.188839,1605
2011-02-10,2011,Feb,weekday,0.221935,1538
2011-02-11,2011,Feb,weekday,0.10855,1746
2011-02-12,2011,Feb,weekend,0.203367,1472
2011-02-13,2011,Feb,weekend,0.260883,1589
2011-02-14,2011,Feb,weekday,0.417908,1913
2011-02-15,2011,Feb,weekday,0.291374,1815
2011-02-16,2011,Feb,weekday,0.251791,2115
2011-02-17,2011,Feb,weekday,0.230104,2475
2011-02-18,2011,Feb,weekday,0.264925,2927
2011-02-19,2011,Feb,weekend,0.507463,1635
2011-02-20,2011,Feb,weekend,0.223235,1812
2011-02-21,2011,Feb,weekday,0.307846,1107
2011-02-22,2011,Feb,weekday,0.195683,1450
2011-02-23,2011,Feb,weekday,0.094113,1917
2011-02-24,2011,Feb,weekday,0.250496,1807
2011-02-25,2011,Feb,weekday,0.346539,1461
2011-02-26,2011,Feb,weekend,0.186571,1969
2011-02-27,2011,Feb,weekend,0.125248,2402
2011-02-28,2011,Feb,weekday,0.289686,1446
2011-03-01,2011,Mar,weekday,0.216425,1851
2011-03-02,2011,Mar,weekday,0.307833,2134
2011-03-03,2011,Mar,weekday,0.225754,1685
2011-03-04,2011,Mar,weekday,0.203346,1944
2011-03-05,2011,Mar,weekend,0.251871,2077
